Approach,EmbeddingSize,MemoryExamples,Accuracy
Encoder,32,9600,0.482
Encoder,32,9600,0.493
Encoder,32,9600,0.482
Encoder,32,9600,0.483
Encoder,32,9600,0.483
Encoder,64,4800,0.531
Encoder,64,4800,0.527
Encoder,64,4800,0.527
Encoder,64,4800,0.541
Encoder,64,4800,0.527
Encoder,128,2400,0.539
Encoder,128,2400,0.541
Encoder,128,2400,0.529
Encoder,128,2400,0.531
Encoder,128,2400,0.536
Encoder,256,1200,0.527
Encoder,256,1200,0.529
Encoder,256,1200,0.523  
Encoder,256,1200,0.523  
Encoder,256,1200,0.531  
Encoder,512,600,0.504
Encoder,512,600,0.506
Encoder,512,600,0.503
Encoder,512,600,0.499
Encoder,512,600,0.503
ELM,32,9600,0.366
ELM,32,9600,0.371
ELM,32,9600,0.379
ELM,32,9600,0.370
ELM,32,9600,0.374
ELM,64,4800,0.409
ELM,64,4800,0.417
ELM,64,4800,0.413
ELM,64,4800,0.413
ELM,64,4800,0.407
ELM,128,2400,0.416
ELM,128,2400,0.427
ELM,128,2400,0.418
ELM,128,2400,0.423
ELM,128,2400,0.420
ELM,256,1200,0.404
ELM,256,1200,0.399
ELM,256,1200,0.405
ELM,256,1200,0.402
ELM,256,1200,0.394
ELM,512,600,0.352
ELM,512,600,0.358
ELM,512,600,0.365
ELM,512,600,0.362
ELM,512,600,0.359
Resize_Resnet,1,204800,0.249
Resize_Resnet,2,51200,0.375
Resize_Resnet,4,12800,0.544
Resize_Resnet,8,3200,0.565
Resize_Resnet,12,1422,0.526
Resize_Resnet,16,800,0.474
Resize_Resnet,24,355,0.399
Resize_Resnet,28,261,0.355

