Approach,EmbeddingSize,MemoryExamples,Accuracy
Resize+ResNet,1,391168,0.215
Resize+ResNet,2,97792,0.271
Resize+ResNet,3,43463,0.835
Resize+ResNet,4,24448,0.951
Resize+ResNet,8,6112,0.988
Resize+ResNet,12,2716,0.989
Resize+ResNet,16,1528,0.988
Resize+ResNet,24,680,0.986
Resize+ResNet,25,625,0.984
Resize+ResNet,26,578,0.984
Resize+ResNet,27,536,0.982
ELM,512,382,0.917
ELM,256,764,0.936
ELM,128,1528,0.947
ELM,64,3056,0.925
ELM,32,6112,0.876
ELM,16,12224,0.657
ELM,8,24448,0.427
Resize+MLP,1,391168,0.217
Resize+MLP,2,97792,0.269
Resize+MLP,3,43463,0.81
Resize+MLP,4,24448,0.925
Resize+MLP,8,6112,0.972
Resize+MLP,12,2716,0.972
Resize+MLP,16,1528,0.963
Resize+MLP,18,1207,0.958
Resize+MLP,20,977,0.955
Resize+MLP,24,680,0.941
Resize+MLP,25,625,0.934
Resize+MLP,26,578,0.937
Resize+MLP,27,536,0.934
VAE+MLP,512,382,0.700
VAE+MLP,256,764,0.842
VAE+MLP,128,1528,0.906
VAE+MLP,64,3056,0.931
VAE+MLP,32,6112,0.945
VAE+MLP,16,12224,0.881
VAE+MLP,8,24448,0.630
VAE+ResNet,128,1528,0.956
VAE+ResNet,64,3056,0.962
VAE+ResNet,32,6112,0.966
VAE+ResNet,16,12224,0.902

